City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,klyuchi,52.2667,79.1667,-3.9,73,9,3.23,RU,1681956435
118,okakarara,-20.5833,17.4333,17.99,53,74,1.85,NA,1681956436
119,tolanaro,-25.0319,46.9987,24.04,88,40,3.09,MG,1681956227
120,udachny,66.4167,112.4,-5.86,57,100,3.13,RU,1681956436
121,mar del plata,-38.0023,-57.5575,10.53,86,40,2.06,AR,1681956312
122,awjilah,29.1081,21.2869,16.3,36,0,3.47,LY,1681956437
123,east london,-33.0153,27.9116,28.44,25,75,6.09,ZA,1681956437
124,las terrenas,19.311,-69.5428,24.35,82,3,4.74,DO,1681956437
125,bikenibeu village,1.3673,173.1241,30.98,66,20,6.17,KI,1681956437
126,yuzhno-kurilsk,44.0306,145.8556,7.09,75,91,3.84,RU,1681956438
127,odienne,9.51,-7.5692,26.28,59,100,2.0,CI,1681956438
128,maputsoe,-28.8833,27.9,9.82,43,7,1.35,LS,1681956438
129,georgetown,5.4112,100.3354,25.96,94,40,2.24,MY,1681956157
130,oeiras,-7.0253,-42.1311,23.85,81,98,0.08,BR,1681956425
131,antonio enes,-16.2325,39.9086,23.0,87,44,3.24,MZ,1681956439
132,upper grand lagoon,30.1633,-85.7408,21.72,76,0,1.54,US,1681956439
133,tsiombe,-25.3,45.4833,21.25,96,85,2.8,MG,1681956439
134,port macquarie,-31.4333,152.9167,23.83,60,85,5.12,AU,1681956357
135,enewetak,11.3474,162.3373,25.19,91,100,9.79,MH,1681956166
136,kamaishi,39.2667,141.8833,16.22,51,9,5.95,JP,1681956440
137,punta arenas,-53.15,-70.9167,6.06,70,0,9.77,CL,1681956440
138,greymouth,-42.4667,171.2,17.32,59,98,1.41,NZ,1681956441
139,luderitz,-26.6481,15.1594,15.08,81,74,3.48,NA,1681956441
140,araioses,-2.89,-41.9031,24.66,90,100,0.39,BR,1681956441
141,okha,53.5739,142.9478,0.73,80,76,1.41,RU,1681956212
142,robore,-18.3333,-59.75,18.01,95,71,0.92,BO,1681956442
143,iskushuban,10.2837,50.23,23.26,86,16,1.4,SO,1681956442
144,carutapera,-1.195,-46.02,24.27,93,99,1.49,BR,1681956196
145,felipe carrillo puerto,19.5833,-88.05,24.48,81,13,2.19,MX,1681956443
146,wailua homesteads,22.0669,-159.378,27.08,67,20,5.14,US,1681956443
147,dunedin,-45.8742,170.5036,15.45,77,85,0.45,NZ,1681956339
